IPC,ICAcess,ICmissRate,ICmisses,IChit,DCAcess,DCmissRate,DCmisses,DChit,ctrlmem0energy,ctrlmem1Energy,label
0.5056,0.9484,0.923,0.8986,0.9297,0.9839,0.8988,0.8899,0.9521,1.0,1.0,6.0
0.7011,1.0,0.2479,0.2544,1.0,0.996,0.5315,0.5327,0.9802,0.7183,0.6658,6.0
0.9804,0.984,0.0176,0.0178,0.9906,0.9934,0.1304,0.1303,0.9955,0.482,0.41,6.0
0.9128,0.9821,0.0923,0.093,0.9866,0.9998,0.1819,0.183,0.9996,0.534,0.4812,6.0
0.9402,0.9597,0.1742,0.1717,0.9618,0.9845,0.2193,0.2172,0.9827,0.5017,0.4639,6.0
0.7249,0.9765,0.3524,0.3533,0.9735,0.9972,0.3612,0.3625,0.989,0.6904,0.6601,6.0
0.9564,0.9836,0.0286,0.0289,0.9899,0.9998,0.1747,0.1758,1.0,0.5063,0.4456,6.0
0.9455,0.9828,0.0643,0.0649,0.988,0.9934,0.142,0.142,0.995,0.5049,0.4559,6.0
0.5626,0.9741,1.0,1.0,0.9527,0.9937,1.0,1.0,0.957,0.9023,0.882,6.0
0.4435,0.9447,1.3537,1.3129,0.9142,0.9951,0.618,0.6188,0.9754,1.1232,1.1558,6.0
1.0,0.9998,0.9765,0.9762,0.9996,1.0,0.9978,0.9979,0.6665,0.7428,0.6987,7.0
0.5813,0.9999,0.6118,0.6115,0.9998,1.0,0.997,0.997,0.667,0.9196,0.852,7.0
0.9458,1.0,0.3824,0.3815,1.0,1.0,0.4986,0.4986,1.0,0.6135,0.569,7.0
0.9372,1.0,0.45,0.4485,1.0,1.0,0.5026,0.5026,0.9973,0.5769,0.6141,7.0
0.5774,0.9999,0.6265,0.6256,0.9998,1.0,0.9978,0.9978,0.6665,0.9922,0.9442,7.0
0.9964,0.9998,0.9735,0.9727,0.9996,1.0,0.9971,0.9971,0.667,0.703,0.6512,7.0
0.9396,1.0,0.3941,0.393,1.0,1.0,0.4986,0.4986,1.0,0.6173,0.5724,7.0
0.9427,1.0,0.4176,0.4159,1.0,1.0,0.4986,0.4986,1.0,0.5762,0.534,7.0
0.5805,0.9998,0.7206,0.7189,0.9997,1.0,1.0,1.0,0.665,0.8991,1.0,7.0
0.5805,0.9999,0.6441,0.6432,0.9998,1.0,0.9985,0.9985,0.666,0.928,0.939,7.0
0.5791,0.9999,0.5824,0.5806,0.9998,1.0,0.997,0.997,0.667,0.9924,0.9229,7.0
0.9999,0.9998,0.9471,0.9471,0.9996,1.0,0.9971,0.9971,0.667,0.7443,0.6898,7.0
0.9397,1.0,0.4353,0.4344,1.0,1.0,0.5006,0.5006,0.9987,0.6156,0.5872,7.0
